App,Category,Rating,Reviews,Size,Installs,Price,Last updated date,Last updated time,Current Ver,Android Ver,Multidevice
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16M,"10,000,000+",0,15/03/2017,8:52,Varies with device,5.0 and up,true
PDD-UA,AUTO_AND_VEHICLES,4.8,736,Varies with device,"100,000+",0,08/01/2022,20:40,2.9,2.3.3 and up,true
Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,7021,17M,"500,000+",0,27/04/2015,11:45,1.79,4.0 and up,true
Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4.6,197,3.4M,"50,000+",0,07/06/2015,11:31,1.3,4.0 and up,true
"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4.5,737,8.9M,"100,000+",0,20/11/2017,23:16,2.3.5.1,4.1 and up,false
Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4.3,3574,3.9M,"1,000,000+",0,18/09/2019,19:01,1.6,4.0 and up,true
Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2.9M,"100,000+",0,26/06/2020,7:47,1.6,4.1 and up,false
Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4.9,197136,38M,"1,000,000+",0,26/06/2018,18:12,8.31,4.1 and up,false
Pick Your Part Garage,AUTO_AND_VEHICLES,3.9,142,32M,"50,000+",0,02/09/2017,17:19,1.1.5.0,6.0 and up,true
PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,4.4,15168,37M,"1,000,000+",0,21/10/2018,3:41,10.0.2,4.2 and up,true
Supervision service,AUTO_AND_VEHICLES,4,2155,15M,"500,000+",0,22/11/2021,1:41,1.10.3,5.0 and up,false
Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,4.3,138,5.4M,"100,000+",0,13/10/2017,23:52,1,4.0.3 and up,true
Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,3.7,5414,18M,"1,000,000+",0,08/04/2021,7:32,3.20.1,4.4 and up,true
CarMax – Cars for Sale: Search Used Car Inventory,AUTO_AND_VEHICLES,4.4,21777,Varies with device,"1,000,000+",0,12/10/2019,3:18,Varies with device,Varies with device,true
BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38M,"100,000+",0,07/10/2016,8:52,1.0.3,2.3 and up,true
RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3.2,250,1.1M,"100,000+",0,31/12/2019,10:04,1.4,4.0.3 and up,false
AutoScout24 Switzerland – Find your new car,AUTO_AND_VEHICLES,4.6,13372,Varies with device,"1,000,000+",0,20/10/2020,4:13,Varies with device,Varies with device,false
Zona Azul Digital Fácil SP CET - OFFICIAL São Paulo,AUTO_AND_VEHICLES,4.6,7880,Varies with device,"100,000+",0,05/06/2019,1:03,4.6.5,Varies with device,false
SMS Park,AUTO_AND_VEHICLES,4.5,3617,7.9M,"100,000+",0,26/09/2016,0:44,2.8.2,4.1 and up,true
SKencar,AUTO_AND_VEHICLES,3.7,4806,35M,"1,000,000+",0,05/11/2020,4:30,4.0.3,4.0.3 and up,true
Fuelio: Gas log & costs,AUTO_AND_VEHICLES,4.6,65786,Varies with device,"1,000,000+",0,21/07/2017,4:06,Varies with device,4.0.3 and up,false
auto fines,AUTO_AND_VEHICLES,4.6,31433,17M,"1,000,000+",0,20/10/2020,6:39,1.4,4.0.3 and up,true
"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4.6,5097,19M,"1,000,000+",0,15/07/2018,7:01,1.5.18,4.0.3 and up,false
All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4,1754,14M,"500,000+",0,04/04/2021,8:20,2.3.4,4.0 and up,false
Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4.4,2680,2.2M,"500,000+",0,04/03/2022,22:38,1.03,4.0.3 and up,true
Gas Station,AUTO_AND_VEHICLES,4,1288,4.5M,"100,000+",0,18/12/2015,15:47,2.17,4.0 and up,true
Hush - Beauty for Everyone,BEAUTY,4.7,18900,17M,"500,000+",0,01/02/2022,17:38,6.10.1,5.0 and up,true
"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,49790,14M,"1,000,000+",0,29/04/2019,17:02,2.3.0,4.1 and up,false
Natural recipes for your beauty,BEAUTY,4.7,1150,9.8M,"100,000+",0,09/03/2017,12:34,4,4.1 and up,true
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21M,"500,000+",0,29/07/2017,2:43,1.0.6,4.0.3 and up,true
Mirror - Zoom & Exposure -,BEAUTY,3.9,32090,Varies with device,"1,000,000+",0,23/01/2021,4:29,Varies with device,Varies with device,true
Beauty Selfie Camera,BEAUTY,4.2,2225,52M,"500,000+",0,16/03/2020,17:58,1.6,4.1 and up,true
Hairstyles step by step,BEAUTY,4.6,4369,14M,"100,000+",0,05/12/2017,16:33,1.9,4.0.3 and up,true
Filters for Selfie,BEAUTY,4.3,8572,25M,"1,000,000+",0,09/03/2017,19:56,1.1.0,4.0 and up,false
Tie - Always be happy,BEAUTY,4.7,964,9.0M,"50,000+",0,08/05/2019,3:49,4,4.2 and up,false
Ulta Beauty,BEAUTY,4.7,42050,Varies with device,"1,000,000+",0,22/05/2020,18:46,5.4,5.0 and up,false
Prom MakeUp Tutorial,BEAUTY,4.8,104,12M,"10,000+",0,29/04/2020,11:48,1.3,4.0.3 and up,true
Selfie Camera,BEAUTY,4.2,17934,Varies with device,"1,000,000+",0,11/12/2021,17:40,Varies with device,Varies with device,true
Sweet Selfie Beauty Camera,BEAUTY,4.3,601,35M,"100,000+",0,22/10/2015,22:40,2.0.0,4.0 and up,false
Colors of white in Urdu,BEAUTY,4.5,36,6.7M,"10,000+",0,12/01/2022,7:13,6,4.0 and up,false
Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4.1,187,30M,"50,000+",0,17/08/2017,7:19,3.0.1,4.0.3 and up,false
Wrinkles and rejuvenation,BEAUTY,NaN,182,5.7M,"100,000+",0,25/12/2015,8:32,8,3.0 and up,true
Eyes Makeup Beauty Tips,BEAUTY,4.2,30,2.9M,"10,000+",0,19/06/2017,3:11,3.3.9,4.0.3 and up,false
Photo Editor 2018,BEAUTY,4.5,134,17M,"10,000+",0,30/11/2020,16:29,1.2,4.0.3 and up,false
Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,74,2.9M,"10,000+",0,14/04/2016,0:11,2.3.09,4.0.3 and up,true
Beauty Camera - Selfie Camera,BEAUTY,4,113715,Varies with device,"10,000,000+",0,04/07/2015,13:46,Varies with device,Varies with device,false
Girls Hairstyles,BEAUTY,4.1,3595,Varies with device,"500,000+",0,30/07/2015,4:48,Varies with device,4.0 and up,false
Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,9315,2.6M,"1,000,000+",0,01/02/2021,15:16,1.4.2,4.0 and up,true
Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.4,75,4.2M,"50,000+",0,22/05/2019,9:12,1.0.0,4.0.3 and up,false
Haircut Tutorials/Haircut Videos,BEAUTY,4.6,38,7.1M,"10,000+",0,21/01/2019,6:12,1,4.0 and up,true
"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,4.5,26834,57M,"1,000,000+",0,11/04/2017,18:30,18.5,5.0 and up,false
Manicure - nail design,BEAUTY,NaN,119,3.7M,"50,000+",0,13/09/2019,19:51,1.3,4.1 and up,true
"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3.9,2277,22M,"500,000+",0,07/05/2021,14:24,1.1.0,4.0.3 and up,true
Filters for B Live,BEAUTY,4.4,2280,24M,"500,000+",0,11/10/2020,6:21,1.1.0,4.0 and up,true
Skin Care and Natural Beauty,BEAUTY,NaN,654,7.4M,"100,000+",0,07/12/2019,0:13,1.15,4.1 and up,false
Facial Wrinkle Reduction,BEAUTY,4.6,184,21M,"10,000+",0,20/01/2019,21:01,1.5,4.1 and up,true
Makeup Videos,BEAUTY,3.8,9,3.4M,"5,000+",0,18/05/2016,13:17,1,4.0 and up,true
"Secrets of beauty, youth and health",BEAUTY,NaN,77,2.9M,"10,000+",0,24/04/2016,5:16,2,2.3 and up,false
Recipes and tips for losing weight,BEAUTY,NaN,35,3.1M,"10,000+",0,13/03/2018,11:26,2,3.0 and up,false
Discover Color,BEAUTY,4,364,6.4M,"100,000+",0,29/11/2018,0:37,1.1,4.0.3 and up,true
Eyeliner step by step 2018,BEAUTY,4.3,18,3.2M,"5,000+",0,15/08/2015,1:36,1.2.13,4.0.3 and up,false
Dresses Ideas & Fashions +3000,BEAUTY,4.5,473,8.2M,"100,000+",0,03/02/2019,23:17,1.0.2.0,1.6 and up,false
"Lady adviser (beauty, health)",BEAUTY,NaN,30,9.9M,"10,000+",0,20/11/2019,4:40,3,3.0 and up,true
Step By Step Hairstyles For Women,BEAUTY,4.1,66,2.9M,"10,000+",0,23/09/2017,2:04,3.1.89,4.0.3 and up,false
Rainbow Camera,BEAUTY,3.7,3871,23M,"1,000,000+",0,11/02/2017,2:18,2.2.0,4.0 and up,true
Methods of teeth whitening,BEAUTY,4.7,257,4.6M,"50,000+",0,08/07/2016,22:00,1,4.0.3 and up,true
Girls hairstyles 2018,BEAUTY,4.2,62,3.1M,"10,000+",0,27/01/2022,20:36,1.9.2,4.0.3 and up,false
Wattpad 📖 Free Books,BOOKS_AND_REFERENCE,4.6,2914724,Varies with device,"100,000,000+",0,28/09/2015,5:51,Varies with device,Varies with device,true
E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4.5,1857,4.9M,"50,000+",0,08/09/2018,17:15,1.3.2,4.4 and up,false
Download free book with green book,BOOKS_AND_REFERENCE,4.6,4478,9.5M,"100,000+",0,14/12/2021,19:07,1.1,4.0 and up,false
Wikipedia,BOOKS_AND_REFERENCE,4.4,577550,Varies with device,"10,000,000+",0,15/07/2015,7:59,Varies with device,Varies with device,true
Amazon Kindle,BOOKS_AND_REFERENCE,4.2,814080,Varies with device,"100,000,000+",0,12/07/2015,7:53,Varies with device,Varies with device,false
Cool Reader,BOOKS_AND_REFERENCE,4.5,246315,Varies with device,"10,000,000+",0,13/08/2018,19:21,Varies with device,1.5 and up,true
Dictionary - Merriam-Webster,BOOKS_AND_REFERENCE,4.5,454060,Varies with device,"10,000,000+",0,01/02/2016,10:04,Varies with device,Varies with device,false
NOOK: Read eBooks & Magazines,BOOKS_AND_REFERENCE,4.5,155446,Varies with device,"10,000,000+",0,30/04/2017,3:07,Varies with device,Varies with device,true
Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418,4.2M,"100,000+",0,12/04/2018,1:02,2.1,4.1 and up,false
Book store,BOOKS_AND_REFERENCE,4.4,22486,5.4M,"1,000,000+",0,08/05/2018,8:38,3.2.1,4.0 and up,true
FBReader: Favorite Book Reader,BOOKS_AND_REFERENCE,4.5,203130,Varies with device,"10,000,000+",0,25/11/2016,6:32,Varies with device,Varies with device,false
English Grammar Complete Handbook,BOOKS_AND_REFERENCE,4.6,1435,2.8M,"500,000+",0,26/09/2017,2:56,1,4.0 and up,true
Free Books - Spirit Fanfiction and Stories,BOOKS_AND_REFERENCE,4.8,116507,5.0M,"1,000,000+",0,02/12/2017,10:22,2.0.075,4.0.3 and up,true
Google Play Books,BOOKS_AND_REFERENCE,3.9,1433233,Varies with device,"1,000,000,000+",0,02/04/2015,3:02,Varies with device,Varies with device,true
AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468,5.9M,"5,000,000+",0,08/11/2019,12:12,1.91180527,2.3 and up,false
Offline English Dictionary,BOOKS_AND_REFERENCE,4.2,860,13M,"100,000+",0,23/10/2016,21:29,1,4.0.3 and up,true
Oxford Dictionary of English : Free,BOOKS_AND_REFERENCE,4.1,363934,7.1M,"10,000,000+",0,19/10/2015,3:14,9.1.363,4.1 and up,true
Offline: English to Tagalog Dictionary,BOOKS_AND_REFERENCE,4.7,967,6.7M,"500,000+",0,23/03/2020,18:00,1.1.6,4.0.3 and up,true
Spanish English Translator,BOOKS_AND_REFERENCE,4.2,87873,Varies with device,"10,000,000+",0,19/03/2021,20:02,Varies with device,Varies with device,false
FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506,17M,"1,000,000+",0,28/07/2018,7:58,2.3.18,4.1 and up,false
Cloud of Books,BOOKS_AND_REFERENCE,3.3,1862,19M,"1,000,000+",0,06/04/2019,17:00,2.2.5,4.1 and up,true
Recipes of Prophetic Medicine for free,BOOKS_AND_REFERENCE,4.6,2084,6.7M,"500,000+",0,03/08/2021,22:49,15,2.3 and up,false
ReadEra – free ebook reader,BOOKS_AND_REFERENCE,4.8,47303,21M,"1,000,000+",0,13/02/2019,14:38,18.05.31+530,4.1 and up,false
NOOK App for NOOK Devices,BOOKS_AND_REFERENCE,4.7,19080,Varies with device,"500,000+",0,14/01/2022,7:41,Varies with device,Varies with device,false
Anonymous caller detection,BOOKS_AND_REFERENCE,NaN,161,2.7M,"10,000+",0,12/08/2015,17:53,1,2.3 and up,false
Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842,37M,"5,000,000+",0,16/03/2018,18:35,5.0.6,4.0 and up,true
Litnet - E-books,BOOKS_AND_REFERENCE,4.6,7831,15M,"100,000+",0,19/11/2018,6:59,1.2.3,4.0 and up,false
Read books online,BOOKS_AND_REFERENCE,4.1,91615,23M,"5,000,000+",0,03/09/2018,15:25,3.12,4.1 and up,false
English to Urdu Dictionary,BOOKS_AND_REFERENCE,4.6,4620,19M,"500,000+",0,20/01/2018,22:54,2,4.0.3 and up,true
eBoox: book reader fb2 epub zip,BOOKS_AND_REFERENCE,4.7,21336,23M,"1,000,000+",0,23/11/2019,19:41,1.28,3.0 and up,false
English Persian Dictionary,BOOKS_AND_REFERENCE,4.5,26875,73M,"500,000+",0,31/10/2016,23:00,6.0.8,4.0.3 and up,true
Flybook,BOOKS_AND_REFERENCE,3.9,1778,4.9M,"500,000+",0,16/11/2015,11:07,1.0.3,2.1 and up,false
All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709,6.8M,"1,000,000+",0,19/10/2019,4:20,1.9,4.4 and up,true
Ancestry,BOOKS_AND_REFERENCE,4.3,64513,Varies with device,"5,000,000+",0,23/05/2019,23:32,Varies with device,Varies with device,false
HTC Help,BOOKS_AND_REFERENCE,4.2,8342,Varies with device,"10,000,000+",0,10/03/2020,17:28,9.00.950462,7.0 and up,true
English translation from Bengali,BOOKS_AND_REFERENCE,4.5,527,2.9M,"100,000+",0,28/02/2021,19:14,14,4.0 and up,true
Pdf Book Download - Read Pdf Book,BOOKS_AND_REFERENCE,4.4,1322,3.5M,"100,000+",0,04/10/2015,4:49,6,4.0.3 and up,false
Free Book Reader,BOOKS_AND_REFERENCE,3.4,1680,4.0M,"100,000+",0,09/06/2017,6:13,3.05,4.0.3 and up,false
eBoox new: Reader for fb2 epub zip books,BOOKS_AND_REFERENCE,4.9,2739,21M,"50,000+",0,12/01/2022,1:45,2,3.0 and up,false
"Only 30 days in English, the guideline is guaranteed",BOOKS_AND_REFERENCE,4.6,1065,2.3M,"500,000+",0,06/11/2018,12:13,1.5,3.0 and up,true
Moon+ Reader,BOOKS_AND_REFERENCE,4.4,233757,Varies with device,"10,000,000+",0,18/06/2017,20:00,Varies with device,Varies with device,false
SH-02J Owner's Manual (Android 8.0),BOOKS_AND_REFERENCE,NaN,2,7.2M,"50,000+",0,30/06/2016,17:20,3,6.0 and up,false
English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788,10M,"1,000,000+",0,16/11/2021,16:56,2.5.3,4.0 and up,true
Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,51269,6.1M,"1,000,000+",0,26/04/2019,16:08,7.0.4.6,4.2 and up,false
All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105,2.1M,"1,000,000+",0,21/07/2015,11:59,1.15,4.0.3 and up,false
Azpen eReader,BOOKS_AND_REFERENCE,3.5,156,42M,"500,000+",0,03/11/2019,4:51,3.1.7.9,2.2 and up,true
URBANO V 02 instruction manual,BOOKS_AND_REFERENCE,NaN,114,7.3M,"100,000+",0,08/04/2015,21:12,1.1,5.1 and up,false
English Dictionary - Offline,BOOKS_AND_REFERENCE,4.4,341157,30M,"10,000,000+",0,22/04/2021,5:36,3.9.1,4.2 and up,true
Visual Voicemail by MetroPCS,BUSINESS,4.1,16129,Varies with device,"10,000,000+",0,23/12/2021,16:30,Varies with device,Varies with device,false
Indeed Job Search,BUSINESS,4.3,674730,Varies with device,"50,000,000+",0,23/12/2016,5:32,Varies with device,Varies with device,false
Uber Driver,BUSINESS,4.4,1254730,Varies with device,"10,000,000+",0,10/06/2016,14:22,Varies with device,Varies with device,false
ADP Mobile Solutions,BUSINESS,4.3,85185,29M,"5,000,000+",0,15/06/2021,6:12,3.4.2,5.0 and up,false
Snag - Jobs Hiring Now,BUSINESS,4.3,32584,Varies with device,"1,000,000+",0,13/04/2019,23:46,Varies with device,Varies with device,false
Docs To Go™ Free Office Suite,BUSINESS,4.1,217730,Varies with device,"50,000,000+",0,23/09/2016,16:50,Varies with device,Varies with device,false
